__Provider:gps# ,__Satellies:17# ,__Bearing:81.5# ,__SpeedPerHour:6.372# ,__Accuracy:25.170101# ,__Time:1548210983999# ,__ElapsedRealtimeNanos:384704806373213# ,__Location:126.56572564019098,43.8620081922743# ,# ,__DifLocation:3.9067667# ,__DifSpeed:-6.372# ,__DifBearing:-101.90639# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.996# ,__CalcDifLocation:3.868935899806771# ,__CalcSpeedPerHour:6.9780407010542955# ,__CalcAccelerSpeed:3.075479025979633(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:81.5# ,__SpeedPerHour:6.372# ,__Accuracy:25.170101# ,__Time:1548210983999# ,__ElapsedRealtimeNanos:384704806373213# ,__Location:126.56572564019098,43.8620081922743# ,# ,__DifLocation:3.9067667# ,__DifSpeed:-6.372# ,__DifBearing:-101.90639# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.996# ,__CalcDifLocation:3.868935899806771# ,__CalcSpeedPerHour:6.9780407010542955# ,__CalcAccelerSpeed:3.075479025979633(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:101.12# ,__SpeedPerHour:8.748# ,__Accuracy:26.438059# ,__Time:1548210985999# ,__ElapsedRealtimeNanos:384706816870088# ,__Location:126.56581597222223,43.86203884548611# ,# ,__DifLocation:8.053946# ,__DifSpeed:-2.376# ,__DifBearing:-115.12874# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.01# ,__CalcDifLocation:8.013133544451026# ,__CalcSpeedPerHour:14.351880975136167# ,__CalcAccelerSpeed:3.668577250787001(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:101.12# ,__SpeedPerHour:8.748# ,__Accuracy:26.438059# ,__Time:1548210985999# ,__ElapsedRealtimeNanos:384706816870088# ,__Location:126.56581597222223,43.86203884548611# ,# ,__DifLocation:8.053946# ,__DifSpeed:-2.376# ,__DifBearing:-115.12874# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.01# ,__CalcDifLocation:8.013133544451026# ,__CalcSpeedPerHour:14.351880975136167# ,__CalcAccelerSpeed:3.668577250787001(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:16# ,__Bearing:105.56# ,__SpeedPerHour:9.612# ,__Accuracy:25.28084# ,__Time:1548210987999# ,__ElapsedRealtimeNanos:384708834092483# ,__Location:126.56590874565973,43.86203694661458# ,# ,__DifLocation:7.458224# ,__DifSpeed:-0.8640003# ,__DifBearing:-88.533676# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.017# ,__CalcDifLocation:7.449228478713308# ,__CalcSpeedPerHour:13.295598672963763# ,__CalcAccelerSpeed:-0.5236897878891442(K/H)/second__Provider:gps# ,__Satellies:16# ,__Bearing:105.56# ,__SpeedPerHour:9.612# ,__Accuracy:25.28084# ,__Time:1548210987999# ,__ElapsedRealtimeNanos:384708834092483# ,__Location:126.56590874565973,43.86203694661458# ,# ,__DifLocation:7.458224# ,__DifSpeed:-0.8640003# ,__DifBearing:-88.533676# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.017# ,__CalcDifLocation:7.449228478713308# ,__CalcSpeedPerHour:13.295598672963763# ,__CalcAccelerSpeed:-0.5236897878891442(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:108.57# ,__SpeedPerHour:5.472# ,__Accuracy:21.747604# ,__Time:1548210989999# ,__ElapsedRealtimeNanos:384710837495087# ,__Location:126.56596435546875,43.86200846354166# ,# ,__DifLocation:5.5003633# ,__DifSpeed:4.1400003# ,__DifBearing:-54.730778# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.003# ,__CalcDifLocation:5.474967432579995# ,__CalcSpeedPerHour:9.840181106983517# ,__CalcAccelerSpeed:-1.725121101338116(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:108.57# ,__SpeedPerHour:5.472# ,__Accuracy:21.747604# ,__Time:1548210989999# ,__ElapsedRealtimeNanos:384710837495087# ,__Location:126.56596435546875,43.86200846354166# ,# ,__DifLocation:5.5003633# ,__DifSpeed:4.1400003# ,__DifBearing:-54.730778# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.003# ,__CalcDifLocation:5.474967432579995# ,__CalcSpeedPerHour:9.840181106983517# ,__CalcAccelerSpeed:-1.725121101338116(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:125.6# ,__SpeedPerHour:3.024# ,__Accuracy:22.575508# ,__Time:1548210991999# ,__ElapsedRealtimeNanos:384712808795608# ,__Location:126.56598225911458,43.861981065538195# ,# ,__DifLocation:3.3608692# ,__DifSpeed:2.4480002# ,__DifBearing:-25.236591# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.971# ,__CalcDifLocation:3.3715028631757424# ,__CalcSpeedPerHour:6.157996097124644# ,__CalcAccelerSpeed:-1.868181131333776(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:125.6# ,__SpeedPerHour:3.024# ,__Accuracy:22.575508# ,__Time:1548210991999# ,__ElapsedRealtimeNanos:384712808795608# ,__Location:126.56598225911458,43.861981065538195# ,# ,__DifLocation:3.3608692# ,__DifSpeed:2.4480002# ,__DifBearing:-25.236591# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.971# ,__CalcDifLocation:3.3715028631757424# ,__CalcSpeedPerHour:6.157996097124644# ,__CalcAccelerSpeed:-1.868181131333776(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:116.13# ,__SpeedPerHour:1.62# ,__Accuracy:21.939198# ,__Time:1548210993999# ,__ElapsedRealtimeNanos:384714838314358# ,__Location:126.56599148220486,43.86197998046875# ,# ,__DifLocation:0.76885223# ,__DifSpeed:1.4039999# ,__DifBearing:-80.08002# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.029# ,__CalcDifLocation:0.7500589108701339# ,__CalcSpeedPerHour:1.330809304648833# ,__CalcAccelerSpeed:-2.379096497030957(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:116.13# ,__SpeedPerHour:1.62# ,__Accuracy:21.939198# ,__Time:1548210993999# ,__ElapsedRealtimeNanos:384714838314358# ,__Location:126.56599148220486,43.86197998046875# ,# ,__DifLocation:0.76885223# ,__DifSpeed:1.4039999# ,__DifBearing:-80.08002# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.029# ,__CalcDifLocation:0.7500589108701339# ,__CalcSpeedPerHour:1.330809304648833# ,__CalcAccelerSpeed:-2.379096497030957(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:18# ,__Bearing:139.38# ,__SpeedPerHour:1.26# ,__Accuracy:21.932339# ,__Time:1548210995999# ,__ElapsedRealtimeNanos:384716836491961# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:1.6272955# ,__DifSpeed:0.36# ,__DifBearing:2.1750512# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:1.6312379191905546# ,__CalcSpeedPerHour:2.9391674219649637# ,__CalcAccelerSpeed:0.8049840427007662(K/H)/second__Provider:gps# ,__Satellies:18# ,__Bearing:139.38# ,__SpeedPerHour:1.26# ,__Accuracy:21.932339# ,__Time:1548210995999# ,__ElapsedRealtimeNanos:384716836491961# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:1.6272955# ,__DifSpeed:0.36# ,__DifBearing:2.1750512# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.998# ,__CalcDifLocation:1.6312379191905546# ,__CalcSpeedPerHour:2.9391674219649637# ,__CalcAccelerSpeed:0.8049840427007662(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:139.38# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210997999# ,__ElapsedRealtimeNanos:384718806600294# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:0.0# ,__DifSpeed:1.26# ,__DifBearing:0.0# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.97# ,__CalcDifLocation:0.0# ,__CalcSpeedPerHour:0.0# ,__CalcAccelerSpeed:-1.4919631583578497(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:139.38# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210997999# ,__ElapsedRealtimeNanos:384718806600294# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:0.0# ,__DifSpeed:1.26# ,__DifBearing:0.0# ,__DifTime:2# ,__DifElapsedRealtimeNanos:1# ,__CalcDiffTime:1.97# ,__CalcDifLocation:0.0# ,__CalcSpeedPerHour:0.0# ,__CalcAccelerSpeed:-1.4919631583578497(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:139.38# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210999999# ,__ElapsedRealtimeNanos:384720810994565# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:0.0# ,__DifSpeed:0.0# ,__DifBearing:0.0# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.004# ,__CalcDifLocation:0.0# ,__CalcSpeedPerHour:0.0# ,__CalcAccelerSpeed:0.0(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:139.38# ,__SpeedPerHour:0.0# ,__Accuracy:4.9# ,__Time:1548210999999# ,__ElapsedRealtimeNanos:384720810994565# ,__Location:126.56599093967014,43.86196533203125# ,# ,__DifLocation:0.0# ,__DifSpeed:0.0# ,__DifBearing:0.0# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.004# ,__CalcDifLocation:0.0# ,__CalcSpeedPerHour:0.0# ,__CalcAccelerSpeed:0.0(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
__Provider:gps# ,__Satellies:17# ,__Bearing:133.54# ,__SpeedPerHour:2.916# ,__Accuracy:19.879278# ,__Time:1548211001999# ,__ElapsedRealtimeNanos:384722812272169# ,__Location:126.56599853515625,43.8619517686632# ,# ,__DifLocation:1.6382399# ,__DifSpeed:-2.916# ,__DifBearing:-22.355007# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.001# ,__CalcDifLocation:1.6282973110167325# ,__CalcSpeedPerHour:2.92947042461781# ,__CalcAccelerSpeed:1.4640032107035532(K/H)/second__Provider:gps# ,__Satellies:17# ,__Bearing:133.54# ,__SpeedPerHour:2.916# ,__Accuracy:19.879278# ,__Time:1548211001999# ,__ElapsedRealtimeNanos:384722812272169# ,__Location:126.56599853515625,43.8619517686632# ,# ,__DifLocation:1.6382399# ,__DifSpeed:-2.916# ,__DifBearing:-22.355007# ,__DifTime:2# ,__DifElapsedRealtimeNanos:2# ,__CalcDiffTime:2.001# ,__CalcDifLocation:1.6282973110167325# ,__CalcSpeedPerHour:2.92947042461781# ,__CalcAccelerSpeed:1.4640032107035532(K/H)/second# ,__phoneType£ºHUAWEI PIC-TL00# ,__androidVersion£º8.0.0# ,__orderNo£º1087901489474703360
